tweet_id,favorite_count,retweet_count
892420643555336193,37212,7973
892177421306343426,32006,5915
891815181378084864,24100,3910
891689557279858688,40525,8112
891327558926688256,38762,8805
891087950875897856,19476,2926
890971913173991426,11369,1942
890729181411237888,62777,17751
890609185150312448,26796,4029
890240255349198849,30698,6937
890006608113172480,29530,6895
889880896479866881,26790,4695
889665388333682689,46241,9442
889638837579907072,26072,4233
889531135344209921,14547,2122
889278841981685760,24279,5038
888917238123831296,28013,4230
888804989199671297,24604,4008
888554962724278272,19055,3316
888078434458587136,20932,3271
887705289381826560,29060,5067
887517139158093824,44573,11035
887473957103951883,66280,16970
887343217045368832,32400,9831
887101392804085760,29405,5610
886983233522544640,33745,7229
886736880519319552,11568,3049
886680336477933568,21577,4192
886366144734445568,20360,2998
886267009285017600,115,4
886258384151887873,26920,5940
886054160059072513,0,104
885984800019947520,31375,6357
885528943205470208,34621,6029
885518971528720385,19685,3510
885311592912609280,0,17437
885167619883638784,21071,4119
884925521741709313,74382,17073
884876753390489601,26839,5270
884562892145688576,23378,4434
884441805382717440,26018,5352
884247878851493888,70101,19148
884162670584377345,19600,2808
883838122936631299,21031,3253
883482846933004288,44179,9320
883360690899218434,21825,3490
883117836046086144,35756,6266
882992080364220416,23016,3682
882762694511734784,27212,4611
882627270321602560,26874,5719
882268110199369728,43216,10910
882045870035918850,28221,4614
881906580714921986,23403,3207
881666595344535552,48745,10052
881633300179243008,122,7
881536004380872706,47573,15046
881268444196462592,22295,4938
880935762899988482,16394,2630
880872448815771648,20487,3598
880465832366813184,27440,5880
880221127280381952,25987,3969
880095782870896641,26601,4089
879862464715927552,21514,3290
879674319642796034,302,10
879492040517615616,22589,3002
879415818425184262,101974,41842
879376492567855104,16193,2942
879130579576475649,0,6433
879050749262655488,21702,4421
879008229531029506,18273,2543
878776093423087618,18680,3879
878604707211726852,29084,6735
878404777348136964,0,1221
878316110768087041,0,6300
878281511006478336,7440,1221
878057613040115712,40535,6433
877736472329191424,76654,17981
877611172832227328,0,77
877556246731214848,21886,3605
877316821321428993,26394,4893
877201837425926144,26136,5282
876838120628539392,19975,3157
876537666061221889,22741,4416
876484053909872640,18095,2257
876120275196170240,26942,4428
875747767867523072,24272,4037
