tweet_id,favorite_count,retweet_count
892420643555336193,37148,7947
892177421306343426,31951,5901
891815181378084864,24066,3902
891689557279858688,40468,8091
891327558926688256,38704,8784
891087950875897856,19452,2917
890971913173991426,11344,1939
890729181411237888,62664,17714
890609185150312448,26755,4021
890240255349198849,30647,6912
890006608113172480,29485,6880
889880896479866881,26753,4687
889665388333682689,46173,9426
889638837579907072,26020,4226
889531135344209921,14524,2117
889278841981685760,24227,5029
888917238123831296,27980,4222
888804989199671297,24569,3997
888554962724278272,19013,3301
888078434458587136,20904,3268
887705289381826560,29014,5051
887517139158093824,44505,11019
887473957103951883,66177,16938
887343217045368832,32340,9818
887101392804085760,29363,5597
886983233522544640,33681,7217
886736880519319552,11554,3043
886680336477933568,21541,4186
886366144734445568,20323,2995
886267009285017600,116,4
886258384151887873,26873,5929
886054160059072513,0,104
885984800019947520,31333,6340
885528943205470208,34562,6017
885518971528720385,19655,3503
885311592912609280,0,17410
885167619883638784,21040,4112
884925521741709313,74230,17033
884876753390489601,26789,5267
884562892145688576,23342,4430
884441805382717440,25971,5345
884247878851493888,70006,19107
884162670584377345,19566,2805
883838122936631299,20991,3248
883482846933004288,44102,9303
883360690899218434,21776,3485
883117836046086144,35683,6253
882992080364220416,22973,3671
882762694511734784,27170,4604
882627270321602560,26835,5705
882268110199369728,43155,10898
882045870035918850,28173,4606
881906580714921986,23362,3198
881666595344535552,48677,10034
881633300179243008,120,7
881536004380872706,47519,15008
881268444196462592,22265,4927
880935762899988482,16371,2626
880872448815771648,20448,3595
880465832366813184,27404,5868
880221127280381952,25943,3960
880095782870896641,26560,4084
879862464715927552,21483,3287
879674319642796034,300,10
879492040517615616,22552,2995
879415818425184262,101794,41738
879376492567855104,16171,2940
879130579576475649,0,6420
879050749262655488,21671,4409
879008229531029506,18248,2536
878776093423087618,18642,3865
878604707211726852,29027,6727
878404777348136964,0,1216
878316110768087041,0,6294
878281511006478336,7432,1216
878057613040115712,40472,6420
877736472329191424,76528,17941
877611172832227328,0,77
877556246731214848,21848,3597
877316821321428993,26356,4886
877201837425926144,26094,5271
876838120628539392,19935,3151
876537666061221889,22712,4408
876484053909872640,18066,2252
876120275196170240,26902,4414
875747767867523072,24244,4026
875144289856114688,21123,4657
875097192612077568,26433,5742
875021211251597312,24539,4465
874680097055178752,26810,4385
874434818259525634,0,13807
874296783580663808,25091,3897
874057562936811520,21889,3752
874012996292530176,33243,9767
873580283840344065,23356,3729
873337748698140672,0,1511
873213775632977920,6949,1511
872967104147763200,26338,5128
872820683541237760,14220,3523
872620804844003328,20040,3477
872486979161796608,39328,8574
872122724285648897,33233,7706
871879754684805121,36523,10509
871762521631449091,19582,3312
871515927908634625,19508,3294
871166179821445120,0,5436
871102520638267392,20271,5244
871032628920680449,21968,3637
870804317367881728,32572,5904
870726314365509632,118,3
870656317836468226,12013,2520
870374049280663552,80287,25229
870308999962521604,21212,3969
870063196459192321,35491,7947
869772420881756160,41215,9645
869702957897576449,27397,6046
869596645499047938,15510,3002
869227993411051520,19833,3622
868880397819494401,63643,13846
868639477480148993,0,1995
868622495443632128,25980,5091
868552278524837888,9826,1995
867900495410671616,23545,4017
867774946302451713,33046,7064
867421006826221569,15679,2396
867072653475098625,0,118
867051520902168576,31400,7577
866720684873056260,19544,4621
866686824827068416,18797,3346
866450705531457537,119331,33986
866334964761202691,51200,13807
866094527597207552,0,8089
865718153858494464,25047,5431
865359393868664832,25850,4825
865006731092295680,27369,7429
864873206498414592,31541,8407
864279568663928832,14268,2926
864197398364647424,29409,8599
863907417377173506,20164,4003
863553081350529029,14962,4057
863471782782697472,0,2359
863432100342583297,23320,5078
863427515083354112,2193,92
863079547188785154,8589,1074
863062471531167744,8309,2359
862831371563274240,18786,4992
862722525377298433,16739,3434
862457590147678208,20083,4803
862096992088072192,73012,22536
861383897657036800,35451,10420
861288531465048066,16891,4029
861005113778896900,16405,3717
860981674716409858,0,2094
860924035999428608,0,786
860563773140209665,7382,2094
860524505164394496,23248,5166
860276583193509888,18041,3408
860184849394610176,16399,5712
860177593139703809,0,30223
859924526012018688,19267,4000
859851578198683649,15179,3435
859607811541651456,18317,1533
859196978902773760,88611,29503
859074603037188101,33413,13335
858860390427611136,0,7970
858843525470990336,15348,3427
858471635011153920,21230,4767
858107933456039936,15536,2863
857989990357356544,15929,2550
857746408056729600,33845,10451
