tweet_id,favorite_count,retweet_count
892420643555336193,37189,7966
892177421306343426,31993,5912
891815181378084864,24096,3909
891689557279858688,40510,8107
891327558926688256,38743,8799
891087950875897856,19472,2923
890971913173991426,11362,1943
890729181411237888,62746,17745
890609185150312448,26789,4029
890240255349198849,30685,6933
890006608113172480,29521,6890
889880896479866881,26773,4692
889665388333682689,46222,9440
889638837579907072,26056,4234
889531135344209921,14540,2121
889278841981685760,24265,5036
888917238123831296,28008,4230
888804989199671297,24593,4005
888554962724278272,19041,3313
888078434458587136,20922,3270
887705289381826560,29041,5061
887517139158093824,44556,11030
887473957103951883,66244,16959
887343217045368832,32386,9827
887101392804085760,29398,5609
886983233522544640,33728,7227
886736880519319552,11563,3050
886680336477933568,21567,4190
886366144734445568,20346,2999
886267009285017600,115,4
886258384151887873,26902,5939
886054160059072513,0,104
885984800019947520,31368,6351
885528943205470208,34603,6023
885518971528720385,19677,3509
885311592912609280,0,17434
885167619883638784,21062,4117
884925521741709313,74337,17061
884876753390489601,26829,5270
884562892145688576,23367,4434
884441805382717440,26007,5348
884247878851493888,70076,19137
884162670584377345,19594,2807
883838122936631299,21017,3253
883482846933004288,44162,9320
883360690899218434,21813,3488
883117836046086144,35736,6262
882992080364220416,23000,3680
882762694511734784,27202,4610
882627270321602560,26864,5715
882268110199369728,43199,10912
882045870035918850,28208,4614
881906580714921986,23391,3206
881666595344535552,48730,10047
881633300179243008,122,7
881536004380872706,47556,15031
881268444196462592,22277,4936
880935762899988482,16380,2631
880872448815771648,20471,3598
880465832366813184,27435,5879
880221127280381952,25976,3968
880095782870896641,26585,4088
879862464715927552,21506,3290
879674319642796034,302,10
879492040517615616,22582,3001
879415818425184262,101926,41812
879376492567855104,16189,2943
879130579576475649,0,6428
879050749262655488,21696,4418
879008229531029506,18262,2541
878776093423087618,18667,3877
878604707211726852,29066,6733
878404777348136964,0,1220
878316110768087041,0,6301
878281511006478336,7437,1220
878057613040115712,40514,6428
877736472329191424,76623,17973
877611172832227328,0,77
877556246731214848,21876,3603
877316821321428993,26375,4891
877201837425926144,26128,5280
876838120628539392,19961,3156
876537666061221889,22734,4414
876484053909872640,18086,2257
876120275196170240,26932,4424
875747767867523072,24264,4036
875144289856114688,21146,4665
875097192612077568,26447,5752
875021211251597312,24570,4474
874680097055178752,26851,4394
874434818259525634,0,13830
874296783580663808,25127,3901
874057562936811520,21918,3758
874012996292530176,33298,9782
873580283840344065,23380,3734
873337748698140672,0,1511
873213775632977920,6959,1511
872967104147763200,26361,5138
872820683541237760,14231,3528
872620804844003328,20064,3483
872486979161796608,39375,8585
872122724285648897,33267,7727
871879754684805121,36568,10531
871762521631449091,19606,3318
871515927908634625,19521,3301
871166179821445120,0,5447
871102520638267392,20277,5257
871032628920680449,21986,3643
870804317367881728,32605,5915
870726314365509632,118,3
870656317836468226,12019,2528
870374049280663552,80354,25259
870308999962521604,21231,3978
870063196459192321,35537,7958
869772420881756160,41274,9668
869702957897576449,27428,6057
869596645499047938,15526,3005
869227993411051520,19859,3629
868880397819494401,63724,13860
868639477480148993,0,2000
868622495443632128,26002,5101
868552278524837888,9845,2000
867900495410671616,23574,4025
867774946302451713,33068,7074
867421006826221569,15695,2406
867072653475098625,0,118
867051520902168576,31431,7589
866720684873056260,19559,4627
866686824827068416,18815,3352
866450705531457537,119440,34031
866334964761202691,51272,13830
866094527597207552,0,8101
865718153858494464,25070,5444
865359393868664832,25884,4840
865006731092295680,27396,7440
864873206498414592,31572,8421
864279568663928832,14283,2931
864197398364647424,29457,8612
863907417377173506,20190,4006
863553081350529029,14974,4063
863471782782697472,0,2366
863432100342583297,23352,5089
863427515083354112,2193,94
863079547188785154,8595,1076
863062471531167744,8320,2366
862831371563274240,18805,5006
862722525377298433,16750,3439
862457590147678208,20109,4812
862096992088072192,73092,22574
861383897657036800,35486,10440
861288531465048066,16913,4036
861005113778896900,16430,3721
860981674716409858,0,2104
860924035999428608,0,789
860563773140209665,7396,2104
860524505164394496,23271,5169
860276583193509888,18056,3412
860184849394610176,16421,5720
860177593139703809,0,30266
859924526012018688,19289,4007
859851578198683649,15208,3441
859607811541651456,18338,1535
859196978902773760,88703,29549
859074603037188101,33433,13347
858860390427611136,0,7987
858843525470990336,15367,3431
858471635011153920,21252,4774
858107933456039936,15552,2867
857989990357356544,15951,2553
857746408056729600,33887,10458
857393404942143489,5839,1618
857263160327368704,19833,4451
857214891891077121,227,17
857062103051644929,0,169
857029823797047296,18758,3955
856543823941562368,16154,2849
856526610513747968,11772,1857
856330835276025856,0,657
856288084350160898,511,15
856282028240666624,27558,6220
855862651834028034,341,26
855860136149123072,4961,999
855857698524602368,11800,2098
855851453814013952,45352,17773
855818117272018944,26503,5391
855459453768019968,29776,8161
855245323840757760,0,5931
855138241867124737,0,44
854732716440526848,22769,6032
854482394044301312,29245,6860
